city,state_id,state_name,county_name,lat,lng,zips,id
South Creek,WA,Washington,Pierce,46.9994,-122.3921,98580 98387 98338,1840116412
Roslyn,WA,Washington,Kittitas,47.2507,-121.0989,98941 98068 98925,1840097718
Sprague,WA,Washington,Lincoln,47.3048,-117.9713,99032,1840096300
Gig Harbor,WA,Washington,Pierce,47.3352,-122.5968,98332 98335,1840097082
Lake Cassidy,WA,Washington,Snohomish,48.0639,-122.0920,98223 98258 98270,1840116371
Tenino,WA,Washington,Thurston,46.8537,-122.8607,98589,1840097290
Jamestown,WA,Washington,Clallam,48.1229,-123.0911,98382,1840116876
Three Lakes,WA,Washington,Snohomish,47.9420,-121.9924,98290,1840113264
Curlew Lake,WA,Washington,Ferry,48.7311,-118.6663,99166,1840118428
Chain Lake,WA,Washington,Snohomish,47.9038,-121.9861,98290,1840116340
Pateros,WA,Washington,Okanogan,48.0536,-119.8994,98846,1840097686
Rosburg,WA,Washington,Wahkiakum,46.3076,-123.6344,98643,1840116404
Parkland,WA,Washington,Pierce,47.1417,-122.4376,98444 98445 98447 98448,1840113004
Birch Bay,WA,Washington,Whatcom,48.9230,-122.7543,98230,1840111899
Ashford,WA,Washington,Pierce,46.7537,-122.0113,98304,1840111824
Navy Yard City,WA,Washington,Kitsap,47.5508,-122.6655,98312,1840112893
Omak,WA,Washington,Okanogan,48.4228,-119.5159,98841,1840097677
Farmington,WA,Washington,Whitman,47.0887,-117.0464,99128,1840097850
Buckley,WA,Washington,Pierce,47.1615,-122.0200,98321,1840097435
Cathcart,WA,Washington,Snohomish,47.8525,-122.1058,98296,1840112035
Poulsbo,WA,Washington,Kitsap,47.7417,-122.6408,98370,1840096283
Anacortes,WA,Washington,Skagit,48.4878,-122.6292,98221,1840096971
Maplewood,WA,Washington,Pierce,47.3715,-122.5689,98332,1840116381
Creston,WA,Washington,Lincoln,47.7595,-118.5200,99117,1840096226
Rockford,WA,Washington,Spokane,47.4513,-117.1307,99030,1840096289
Wishram,WA,Washington,Klickitat,45.6599,-120.9698,98673,1840113455
Centralia,WA,Washington,Lewis,46.7225,-122.9695,98531,1840096216
South Hill,WA,Washington,Pierce,47.1203,-122.2848,98375 98374 98373,1840112763
Longview Heights,WA,Washington,Cowlitz,46.1796,-122.9577,98632,1840112166
Erlands Point-Kitsap Lake,WA,Washington,Kitsap,47.5973,-122.7021,98312,1840112126
Amboy,WA,Washington,Clark,45.9122,-122.4795,98601 98675,1840111795
St. John,WA,Washington,Whitman,47.0915,-117.5887,99171,1840096292
Dallesport,WA,Washington,Klickitat,45.6316,-121.1749,98617 98635,1840112645
Ketron Island,WA,Washington,Pierce,47.1569,-122.6343,98388,1840096582
Mesa,WA,Washington,Franklin,46.5737,-119.0013,99326 99343,1840097177
Fife,WA,Washington,Pierce,47.2328,-122.3518,98424,1840097070
Moses Lake North,WA,Washington,Grant,47.1949,-119.3186,98837,1840112861
Chewelah,WA,Washington,Stevens,48.2929,-117.7336,99109,1840097452
Grayland,WA,Washington,Grays Harbor,46.8304,-124.0898,98547,1840112352
Kittitas,WA,Washington,Kittitas,46.9837,-120.4191,98934 98926,1840096254
Camano,WA,Washington,Island,48.1865,-122.4708,98282,1840111985
Monroe North,WA,Washington,Snohomish,47.8830,-121.9882,98290 98272,1840116385
North Bonneville,WA,Washington,Skamania,45.6425,-121.9689,98648 98639,1840097854
Klickitat,WA,Washington,Klickitat,45.8180,-121.1626,98628,1840112510
Loon Lake,WA,Washington,Stevens,48.0685,-117.6298,99148,1840097619
Newport,WA,Washington,Pend Oreille,48.1788,-117.0545,99156,1840097200
Mead,WA,Washington,Spokane,47.7795,-117.3500,99021,1840116382
Cashmere,WA,Washington,Chelan,47.5175,-120.4671,98815,1840097446
Aberdeen Gardens,WA,Washington,Grays Harbor,47.0587,-123.7791,98520,1840111752
Ocean Shores,WA,Washington,Grays Harbor,46.9685,-124.1521,98569,1840096329
Basin City,WA,Washington,Franklin,46.5891,-119.1567,99343,1840111853
Wilkeson,WA,Washington,Pierce,47.1034,-122.0495,98396,1840097808
Meadow Glade,WA,Washington,Clark,45.7524,-122.5614,98604,1840112796
Arlington Heights,WA,Washington,Snohomish,48.2119,-122.0630,98223,1840111815
Uniontown,WA,Washington,Whitman,46.5391,-117.0861,99179,1840096312
Oakesdale,WA,Washington,Whitman,47.1305,-117.2465,99158,1840096275
West Side Highway,WA,Washington,Cowlitz,46.1841,-122.9178,98626 98632,1840113405
Conconully,WA,Washington,Okanogan,48.5571,-119.7513,98819,1840097468
Latah,WA,Washington,Spokane,47.2822,-117.1557,99018,1840097145
Elma,WA,Washington,Grays Harbor,47.0055,-123.4112,98541,1840097057
Tieton,WA,Washington,Yakima,46.7026,-120.7560,98947,1840097764
Southworth,WA,Washington,Kitsap,47.5126,-122.5298,98366 98384 98386,1840116413
Danville,WA,Washington,Ferry,48.9938,-118.5068,99121,1840118429
Toppenish,WA,Washington,Yakima,46.3807,-120.3125,98948,1840097297
River Road,WA,Washington,Clallam,48.0677,-123.1276,98382,1840113143
Geneva,WA,Washington,Whatcom,48.7461,-122.4064,98229,1840112319
Yakima,WA,Washington,Yakima,46.5923,-120.5496,98901 98903 98902 98908 98904 98907,1840096318
Moxee,WA,Washington,Yakima,46.5638,-120.3968,98936 98901,1840113576
Edmonds,WA,Washington,Snohomish,47.8114,-122.3533,98026 98020,1840097052
Kalama,WA,Washington,Cowlitz,46.0171,-122.8393,98625,1840097120
Laurier,WA,Washington,Ferry,48.9974,-118.2248,99146,1840118430
Vashon,WA,Washington,King,47.4122,-122.4726,98070 98013,1840113347
Country Homes,WA,Washington,Spokane,47.7478,-117.4197,99208 99218 99251,1840111735
Darrington,WA,Washington,Snohomish,48.2546,-121.6029,98241,1840097486
Metaline Falls,WA,Washington,Pend Oreille,48.8616,-117.3706,99153,1840097639
Lyle,WA,Washington,Klickitat,45.6956,-121.2805,98635,1840112189
Cascade Valley,WA,Washington,Grant,47.1371,-119.3272,98837,1840112024
Spangle,WA,Washington,Spokane,47.4299,-117.3812,99031,1840097274
Methow,WA,Washington,Okanogan,48.1289,-120.0056,98834,1840116880
Waterville,WA,Washington,Douglas,47.6480,-120.0707,98858,1840097796
Lake Roesiger,WA,Washington,Snohomish,47.9839,-121.9129,98290,1840112561
Milton,WA,Washington,Pierce,47.2522,-122.3154,98003 98354,1840097182
Krupp,WA,Washington,Grant,47.4105,-118.9886,98832,1840113594
Alderton,WA,Washington,Pierce,47.1718,-122.2192,98390 98372 98374,1840116325
DuPont,WA,Washington,Pierce,47.1079,-122.6496,98327,1840097387
Edgewood,WA,Washington,Pierce,47.2309,-122.2832,98372 98371,1840097051
North Puyallup,WA,Washington,Pierce,47.2015,-122.2742,98372,1840116389
Pacific Beach,WA,Washington,Grays Harbor,47.2150,-124.1967,98571,1840116392
Manson,WA,Washington,Chelan,47.8858,-120.1563,98831,1840116879
Brewster,WA,Washington,Okanogan,48.1034,-119.7751,98812,1840097433
Battle Ground,WA,Washington,Clark,45.7764,-122.5413,98604,1840097828
Shoreline,WA,Washington,King,47.7564,-122.3426,98155 98177 98133 98160,1840108237
Cosmopolis,WA,Washington,Grays Harbor,46.9541,-123.7725,98520 98563 98537,1840096223
Airway Heights,WA,Washington,Spokane,47.6459,-117.5792,99224 99001,1840096964
Grandview,WA,Washington,Yakima,46.2431,-119.9084,98935 98930,1840097086
Inchelium,WA,Washington,Ferry,48.3378,-118.2372,99138,1840112438
Grand Coulee,WA,Washington,Grant,47.9391,-119.0031,99133,1840097085
Union,WA,Washington,Mason,47.3475,-123.0952,98592,1840116889
Torboy,WA,Washington,Ferry,48.6772,-118.6689,99166,1840118307
Kelso,WA,Washington,Cowlitz,46.1248,-122.8909,98626 98632,1840097122
Westport,WA,Washington,Grays Harbor,46.8919,-124.1120,98595,1840097859
Junction City,WA,Washington,Grays Harbor,46.9713,-123.7651,98520,1840112475
Lake Ketchum,WA,Washington,Snohomish,48.2820,-122.3480,98292,1840112551
West Pasco,WA,Washington,Franklin,46.2497,-119.1684,99301,1840113398
Des Moines,WA,Washington,King,47.3914,-122.3154,98148 98198,1840097037
Davenport,WA,Washington,Lincoln,47.6551,-118.1519,99122,1840096227
Seattle,WA,Washington,King,47.6211,-122.3244,98109 98108 98104 98107 98106 98101 98103 98102 98105 98154 98122 98121 98126 98125 98178 98174 98177 98144 98146 98195 98199 98118 98119 98116 98117 98115 98112 98164 98134 98136 98133 98111 98113 98114 98124 98127 98129 98139 98141 98145 98161 98165 98170 98175 98181 98185 98191 98194,1840097260
Lake Stickney,WA,Washington,Snohomish,47.8709,-122.2596,98087 98204,1840116373
Carnation,WA,Washington,King,47.6446,-121.9048,98014,1840097830
Everett,WA,Washington,Snohomish,47.9524,-122.1670,98207 98204 98205 98203 98201 98208 98275 98206 98213,1840097064
Warden,WA,Washington,Grant,46.9674,-119.0522,98857,1840097319
Palouse,WA,Washington,Whitman,46.9103,-117.0751,99161,1840097839
Terrace Heights,WA,Washington,Yakima,46.6024,-120.4482,98901,1840113561
Clarkston,WA,Washington,Asotin,46.4152,-117.0502,99403,1840097014
Elmer City,WA,Washington,Okanogan,48.0000,-118.9534,99124 99116,1840097058
Mossyrock,WA,Washington,Lewis,46.5305,-122.4887,98564,1840097652
Summit View,WA,Washington,Pierce,47.1343,-122.3468,98375 98373,1840116415
Suquamish,WA,Washington,Kitsap,47.7238,-122.5830,98392 98370,1840113530
Newcastle,WA,Washington,King,47.5303,-122.1633,98059 98056,1840097199
Stanwood,WA,Washington,Snohomish,48.2451,-122.3426,98292,1840097278
Kapowsin,WA,Washington,Pierce,46.9727,-122.2272,98360 98338 98344,1840116365
Donald,WA,Washington,Yakima,46.4737,-120.3923,98951,1840116350
Altoona,WA,Washington,Wahkiakum,46.2699,-123.6145,98643,1840116326
South Prairie,WA,Washington,Pierce,47.1373,-122.0940,98385,1840097742
Eschbach,WA,Washington,Yakima,46.6670,-120.6337,98908,1840112127
Indianola,WA,Washington,Kitsap,47.7566,-122.5142,98342 98346 98370,1840112445
Reardan,WA,Washington,Lincoln,47.6698,-117.8778,99029,1840096288
Cowiche,WA,Washington,Yakima,46.6729,-120.7154,98923,1840116346
Sunday Lake,WA,Washington,Snohomish,48.2306,-122.2684,98292,1840116416
Rocky Point,WA,Washington,Kitsap,47.5882,-122.6668,98312,1840116403
Burbank,WA,Washington,Walla Walla,46.1991,-118.9728,99323,1840111970
Lakeland North,WA,Washington,King,47.3374,-122.2814,98001,1840112570
Granite Falls,WA,Washington,Snohomish,48.0874,-121.9704,98252,1840097552
Camas,WA,Washington,Clark,45.6003,-122.4306,98607,1840097004
Skokomish,WA,Washington,Mason,47.3298,-123.1579,98584,1840112742
Cusick,WA,Washington,Pend Oreille,48.3328,-117.2961,99119,1840097483
Rosalia,WA,Washington,Whitman,47.2363,-117.3769,99170,1840096291
Longbranch,WA,Washington,Pierce,47.2257,-122.7739,98349 98351,1840116377
Granger,WA,Washington,Yakima,46.3455,-120.1926,98932,1840096247
North Fort Lewis,WA,Washington,Pierce,47.1221,-122.5966,98433,1840116387
Tampico,WA,Washington,Yakima,46.5325,-120.8727,98903,1840116418
Tukwila,WA,Washington,King,47.4748,-122.2727,98108 98178 98168 98188 98138 98190,1840096309
Cathlamet,WA,Washington,Wahkiakum,46.2056,-123.3835,98612,1840096215
Wenatchee,WA,Washington,Chelan,47.4338,-120.3286,98801,1840097799
Port Ludlow,WA,Washington,Jefferson,47.9101,-122.7006,98365,1840113062
Castle Rock,WA,Washington,Cowlitz,46.2717,-122.9057,98611,1840097008
Glacier,WA,Washington,Whatcom,48.8903,-121.9323,98244,1840112325
Index,WA,Washington,Snohomish,47.8212,-121.5556,98256,1840097582
Republic,WA,Washington,Ferry,48.6477,-118.7326,99166,1840097712
Bellevue,WA,Washington,King,47.5953,-122.1550,98004 98005 98006 98007 98008 98009 98015,1840096983
Malo,WA,Washington,Ferry,48.7997,-118.6119,99150,1840118431
Anderson Island,WA,Washington,Pierce,47.1577,-122.7037,98303,1840116328
University Place,WA,Washington,Pierce,47.2148,-122.5460,98466 98467 98464,1840097306
Montesano,WA,Washington,Grays Harbor,47.0102,-123.5858,98563,1840096952
Rainier,WA,Washington,Thurston,46.8917,-122.6867,98576,1840096286
Fords Prairie,WA,Washington,Lewis,46.7461,-123.0029,98531,1840112259
Roy,WA,Washington,Pierce,46.9971,-122.5423,98580,1840097250
Oso,WA,Washington,Snohomish,48.2836,-121.9237,98223,1840112979
Marblemount,WA,Washington,Skagit,48.5378,-121.4346,98267,1840112208
Elk Plain,WA,Washington,Pierce,47.0448,-122.3671,98387 98338,1840112113
Burlington,WA,Washington,Skagit,48.4677,-122.3298,98233,1840097001
Bangor Base,WA,Washington,Kitsap,47.7227,-122.7146,98315,1840111847
Beaux Arts Village,WA,Washington,King,47.5854,-122.2009,98004,1840096982
Port Gamble Tribal Community,WA,Washington,Kitsap,47.8487,-122.5571,98346,1840116395
Olympia,WA,Washington,Thurston,47.0417,-122.8959,98501 98502 98506 98504 98507 98508 98511,1840097879
East Wenatchee,WA,Washington,Douglas,47.4172,-120.2809,98802,1840097509
Addy,WA,Washington,Stevens,48.3588,-117.8372,99101,1840116868
Minnehaha,WA,Washington,Clark,45.6577,-122.6204,98661,1840112826
Bryn Mawr-Skyway,WA,Washington,King,47.4949,-122.2411,98178,1840111962
Satsop,WA,Washington,Grays Harbor,47.0223,-123.4737,98583 98541,1840113240
Riverbend,WA,Washington,King,47.4651,-121.7491,98045,1840113144
Easton,WA,Washington,Kittitas,47.2405,-121.1733,98925,1840112082
Silverdale,WA,Washington,Kitsap,47.6663,-122.6828,98311 98370 98383,1840112738
Napavine,WA,Washington,Lewis,46.5844,-122.9007,98565 98532,1840096272
Lochsloy,WA,Washington,Snohomish,48.0597,-122.0411,98258,1840112630
Ellensburg,WA,Washington,Kittitas,46.9994,-120.5470,98926,1840097516
McKenna,WA,Washington,Pierce,46.9365,-122.5500,98580 98558,1840116379
Fairfield,WA,Washington,Spokane,47.3848,-117.1748,99012,1840096236
Northwest Stanwood,WA,Washington,Snohomish,48.2623,-122.3501,98292,1840116390
Mansfield,WA,Washington,Douglas,47.8119,-119.6380,98830,1840096264
Duvall,WA,Washington,King,47.7354,-121.9725,98019,1840097045
Markham,WA,Washington,Grays Harbor,46.9155,-123.9814,98520,1840112216
Waller,WA,Washington,Pierce,47.2035,-122.3699,98404 98371 98443,1840113365
Longview,WA,Washington,Cowlitz,46.1460,-122.9630,98632,1840096261
Richland,WA,Washington,Benton,46.2826,-119.2937,99352 99354,1840097386
Rosedale,WA,Washington,Pierce,47.3453,-122.6368,98332,1840116405
Vancouver,WA,Washington,Clark,45.6367,-122.5970,98684 98664 98665 98660 98661 98662 98663 98682 98683 98687,1840097874
Bethel,WA,Washington,Kitsap,47.4874,-122.6175,98367,1840116329
Custer,WA,Washington,Whatcom,48.9143,-122.6397,98248 98240,1840112640
Lofall,WA,Washington,Kitsap,47.8113,-122.6564,98370,1840116376
Fairwood,WA,Washington,King,47.4467,-122.1430,98058,1840112026
Winlock,WA,Washington,Lewis,46.4907,-122.9342,98596,1840096316
Sumner,WA,Washington,Pierce,47.2190,-122.2338,98390,1840097283
Cottage Lake,WA,Washington,King,47.7466,-122.0755,98072 98077,1840111730
Puget Island,WA,Washington,Wahkiakum,46.1742,-123.3829,98612,1840116397
Woods Creek,WA,Washington,Snohomish,47.8821,-121.8982,98272,1840113463
Washougal,WA,Washington,Clark,45.5812,-122.3433,98671,1840097320
Sisco Heights,WA,Washington,Snohomish,48.1188,-122.1076,98223,1840116410
Canterwood,WA,Washington,Pierce,47.3766,-122.6022,98332,1840116338
Wapato,WA,Washington,Yakima,46.4434,-120.4215,98951,1840097318
Lower Elochoman,WA,Washington,Wahkiakum,46.2185,-123.3698,98612,1840116378
Lake Goodwin,WA,Washington,Snohomish,48.1387,-122.2804,98223 98292 98271,1840112549
Banks Lake South,WA,Washington,Grant,47.6315,-119.2760,99115,1840108357
Kent,WA,Washington,King,47.3887,-122.2128,98031 98030 98032 98042 98035 98064 98089,1840097835
Bickleton,WA,Washington,Klickitat,46.0056,-120.3081,99322,1840111885
Ryderwood,WA,Washington,Cowlitz,46.3750,-123.0441,98581,1840116886
Cavalero,WA,Washington,Snohomish,47.9845,-122.0746,98258 98205,1840116339
La Conner,WA,Washington,Skagit,48.3925,-122.4945,98257,1840097901
Martha Lake,WA,Washington,Snohomish,47.8480,-122.2326,98087 98012 98208,1840112219
George,WA,Washington,Grant,47.0845,-119.8598,98848 98824,1840096244
Snohomish,WA,Washington,Snohomish,47.9277,-122.0970,98290 98291,1840097872
Eatonville,WA,Washington,Pierce,46.8682,-122.2698,98328,1840097510
Carson,WA,Washington,Skamania,45.7353,-121.8219,98610,1840112015
Almira,WA,Washington,Lincoln,47.7105,-118.9369,99103,1840096206
Nooksack,WA,Washington,Whatcom,48.9276,-122.3211,98247 98276,1840096274
Mount Vista,WA,Washington,Clark,45.7373,-122.6315,98642 98686,1840112867
High Bridge,WA,Washington,Snohomish,47.7968,-122.0281,98296 98272,1840116363
Lakeland South,WA,Washington,King,47.2784,-122.2831,98001 98003,1840112571
Kenmore,WA,Washington,King,47.7532,-122.2459,98028,1840097123
Neah Bay,WA,Washington,Clallam,48.3612,-124.6115,98357,1840097196
Cliffdell,WA,Washington,Yakima,46.9213,-121.0420,98937,1840116344
Port Angeles East,WA,Washington,Clallam,48.1041,-123.3695,98362,1840113059
Burien,WA,Washington,King,47.4762,-122.3393,98146 98148 98168 98166 98062,1840097897
Taholah,WA,Washington,Grays Harbor,47.3283,-124.2728,98587,1840113543
Wauna,WA,Washington,Pierce,47.3860,-122.6694,98329,1840116422
Connell,WA,Washington,Franklin,46.6624,-118.8405,99326,1840096222
Disautel,WA,Washington,Okanogan,48.3450,-119.2299,98841,1840116349
Santiago,WA,Washington,Grays Harbor,47.2975,-124.2327,98587,1840116406
Orting,WA,Washington,Pierce,47.0966,-122.2111,98360,1840097214
Colville,WA,Washington,Stevens,48.5454,-117.8986,99114,1840097466
Marysville,WA,Washington,Snohomish,48.0810,-122.1558,98271 98270,1840097165
Walla Walla,WA,Washington,Walla Walla,46.0669,-118.3365,99362,1840097316
Zillah,WA,Washington,Yakima,46.4083,-120.2717,98953,1840097346
Curlew,WA,Washington,Ferry,48.8777,-118.6045,99118,1840116873
Key Center,WA,Washington,Pierce,47.3376,-122.7505,98349 98329 98394 98395,1840116368
Hoodsport,WA,Washington,Mason,47.4020,-123.1542,98548,1840116875
Spanaway,WA,Washington,Pierce,47.0979,-122.4233,98387 98445,1840112777
Mattawa,WA,Washington,Grant,46.7364,-119.9019,99349,1840096266
Clallam Bay,WA,Washington,Clallam,48.2536,-124.2579,98326,1840116872
Prairie Ridge,WA,Washington,Pierce,47.1443,-122.1408,98360 98391,1840113070
Rockport,WA,Washington,Skagit,48.4854,-121.6065,98283,1840113155
Stansberry Lake,WA,Washington,Pierce,47.3814,-122.7154,98329,1840116414
Copalis Beach,WA,Washington,Grays Harbor,47.1205,-124.1722,98535 98536,1840111719
Frederickson,WA,Washington,Pierce,47.0914,-122.3594,98387 98375 98446,1840112289
Asotin,WA,Washington,Asotin,46.3371,-117.0433,99402,1840096208
Mill Creek,WA,Washington,Snohomish,47.8633,-122.2034,98012 98082,1840097896
Bell Hill,WA,Washington,Clallam,48.0550,-123.0870,98382,1840111875
Green Bluff,WA,Washington,Spokane,47.8190,-117.2770,99021 99005,1840116359
Clayton,WA,Washington,Stevens,48.0013,-117.5612,99110,1840096219
Puyallup,WA,Washington,Pierce,47.1794,-122.2902,98372 98371 98374 98373 98352,1840097880
Hockinson,WA,Washington,Clark,45.7301,-122.4833,98606,1840112416
Lake McMurray,WA,Washington,Skagit,48.3129,-122.2317,98274,1840112555
Bucoda,WA,Washington,Thurston,46.7968,-122.8680,98530,1840097868
Issaquah,WA,Washington,King,47.5420,-122.0444,98029 98027,1840097116
Odessa,WA,Washington,Lincoln,47.3326,-118.6895,99159,1840096278
Hazel Dell,WA,Washington,Clark,45.6797,-122.6553,98665,1840118061
McMillin,WA,Washington,Pierce,47.1286,-122.2374,98360 98374,1840116380
Wilbur,WA,Washington,Lincoln,47.7583,-118.7110,99185,1840096314
Skamokawa Valley,WA,Washington,Wahkiakum,46.3004,-123.4243,98647,1840116411
Centerville,WA,Washington,Klickitat,45.7540,-120.9081,98613,1840112045
Nile,WA,Washington,Yakima,46.8368,-120.9455,98937,1840116386
Spokane Valley,WA,Washington,Spokane,47.6625,-117.2346,99206 99016 99212 99216 99037 99211 99213 99215,1840108471
Woodland,WA,Washington,Cowlitz,45.9149,-122.7503,98674,1840097340
Lewisville,WA,Washington,Clark,45.8127,-122.5144,98604,1840112613
Vantage,WA,Washington,Kittitas,46.9453,-119.9923,98950,1840113346
Gorst,WA,Washington,Kitsap,47.5237,-122.7057,98312 98367,1840116357
Lake Morton-Berrydale,WA,Washington,King,47.3325,-122.1030,98092 98042,1840112557
Ione,WA,Washington,Pend Oreille,48.7402,-117.4223,99139,1840097583
Bothell West,WA,Washington,Snohomish,47.8056,-122.2400,98021 98036 98012,1840116331
Vaughn,WA,Washington,Pierce,47.3550,-122.7773,98329 98394,1840116421
Black Diamond,WA,Washington,King,47.3130,-122.0181,98010,1840097425
Ferndale,WA,Washington,Whatcom,48.8525,-122.5893,98248,1840097069
Acme,WA,Washington,Whatcom,48.7146,-122.2293,98220,1840111754
White Center,WA,Washington,King,47.5086,-122.3480,98106 98146 98168,1840113418
Fairchild AFB,WA,Washington,Spokane,47.6187,-117.6485,99011,1840112141
Pacific,WA,Washington,King,47.2611,-122.2507,98001 98047,1840097218
Glenwood,WA,Washington,Klickitat,46.0228,-121.2926,98619,1840116596
Colfax,WA,Washington,Whitman,46.9032,-117.3394,99111,1840097876
Silvana,WA,Washington,Snohomish,48.2018,-122.2459,98292,1840112736
Forks,WA,Washington,Clallam,47.9526,-124.3904,98331,1840097531
Kirkland,WA,Washington,King,47.6997,-122.2041,98034 98033 98011 98083,1840097127
Okanogan,WA,Washington,Okanogan,48.3671,-119.5784,98840,1840097855
Kayak Point,WA,Washington,Snohomish,48.1387,-122.3342,98292,1840116366
Union Hill-Novelty Hill,WA,Washington,King,47.6788,-122.0284,98053 98077,1840113323
Outlook,WA,Washington,Yakima,46.3311,-120.0923,98938,1840116391
Lake Tapps,WA,Washington,Pierce,47.2305,-122.1696,98391,1840116374
Cohassett Beach,WA,Washington,Grays Harbor,46.8656,-124.1054,98595,1840111709
Tonasket,WA,Washington,Okanogan,48.7077,-119.4412,98855,1840097766
Sunnyside,WA,Washington,Yakima,46.3159,-120.0058,98944,1840097873
Lakeview,WA,Washington,Grant,47.3755,-119.5043,98851,1840112577
Carbonado,WA,Washington,Pierce,47.0805,-122.0536,98323 98396,1840097440
Pullman,WA,Washington,Whitman,46.7340,-117.1669,99164 99163,1840097870
Blyn,WA,Washington,Clallam,48.0130,-122.9897,98382,1840111919
Brinnon,WA,Washington,Jefferson,47.6689,-122.9249,98320,1840111952
Friday Harbor,WA,Washington,San Juan,48.5324,-123.0655,98250,1840096241
Orchards,WA,Washington,Clark,45.6888,-122.5305,98682,1840112974
Purdy,WA,Washington,Pierce,47.3938,-122.6114,98332,1840116398
Tekoa,WA,Washington,Whitman,47.2247,-117.0732,99033,1840096307
Tanner,WA,Washington,King,47.4813,-121.6921,98045,1840113548
Thorp,WA,Washington,Kittitas,47.0656,-120.6709,98946,1840113262
Artondale,WA,Washington,Pierce,47.3024,-122.6390,98335,1840111821
Liberty Lake,WA,Washington,Spokane,47.6687,-117.1032,99019 99016,1840097149
Cheney,WA,Washington,Spokane,47.4901,-117.5789,99004,1840097849
Sammamish,WA,Washington,King,47.6019,-122.0419,98029 98075 98074,1840096293
Cle Elum,WA,Washington,Kittitas,47.1946,-120.9553,98943 98922,1840097462
Fern Prairie,WA,Washington,Clark,45.6370,-122.3963,98607,1840116353
Waverly,WA,Washington,Spokane,47.3380,-117.2312,99012 99039,1840097324
Lakewood,WA,Washington,Pierce,47.1628,-122.5299,98499 98498 98496 98497,1840097141
Lake Marcel-Stillwater,WA,Washington,King,47.6926,-121.9152,98014,1840112554
Central Park,WA,Washington,Grays Harbor,46.9705,-123.7018,98520,1840112048
Bridgeport,WA,Washington,Douglas,48.0063,-119.6737,98813,1840096214
Raft Island,WA,Washington,Pierce,47.3293,-122.6686,98335,1840116401
Larch Way,WA,Washington,Snohomish,47.8429,-122.2527,98087 98037,1840116375
Lake Bosworth,WA,Washington,Snohomish,48.0532,-121.9812,98290 98252,1840112545
Barberton,WA,Washington,Clark,45.7136,-122.6114,98662 98686 98666 98668,1840111848
Sekiu,WA,Washington,Clallam,48.2637,-124.3012,98381,1840116887
Brier,WA,Washington,Snohomish,47.7922,-122.2734,98036,1840096997
Spokane,WA,Washington,Spokane,47.6671,-117.4330,99201 99203 99202 99205 99204 99207 99208 99224 99223 99001 99212 99209 99210 99219 99220 99252 99256 99258 99260,1840097276
Fall City,WA,Washington,King,47.5717,-121.9134,98024,1840112150
Pasco,WA,Washington,Franklin,46.2506,-119.1303,99301 99302,1840097383
Lyman,WA,Washington,Skagit,48.5230,-122.0634,98263 98284,1840097624
Oakville,WA,Washington,Grays Harbor,46.8403,-123.2333,98568,1840096276
Dash Point,WA,Washington,Pierce,47.3131,-122.4153,98422,1840116348
Herron Island,WA,Washington,Pierce,47.2645,-122.8348,98349,1840116362
West Clarkston-Highland,WA,Washington,Asotin,46.4023,-117.0630,99403,1840113386
Royal City,WA,Washington,Grant,46.9000,-119.6142,99357,1840097251
Venersborg,WA,Washington,Clark,45.7860,-122.4721,98604,1840113349
Hoquiam,WA,Washington,Grays Harbor,46.9863,-123.9023,98550,1840097107
Willapa,WA,Washington,Pacific,46.6755,-123.6648,98577,1840116891
Quilcene,WA,Washington,Jefferson,47.8369,-122.9058,98376,1840113084
Freeland,WA,Washington,Island,48.0185,-122.5358,98249,1840112291
McCleary,WA,Washington,Grays Harbor,47.0584,-123.2723,98557,1840096267
Roosevelt,WA,Washington,Klickitat,45.7476,-120.2161,99356,1840113165
Long Beach,WA,Washington,Pacific,46.3559,-124.0556,98631,1840097154
Trout Lake,WA,Washington,Klickitat,45.9976,-121.5291,98650,1840097771
Coulee Dam,WA,Washington,Okanogan,47.9688,-118.9761,99116,1840096224
Swede Heaven,WA,Washington,Snohomish,48.2829,-121.7136,98223,1840116417
Pine Grove,WA,Washington,Ferry,48.6502,-118.6834,99166,1840118432
Langley,WA,Washington,Island,48.0337,-122.4084,98260,1840097143
Sedro-Woolley,WA,Washington,Skagit,48.5113,-122.2321,98284,1840097263
Hatton,WA,Washington,Adams,46.7735,-118.8277,99344,1840097094
Entiat,WA,Washington,Chelan,47.6780,-120.2175,98822,1840097520
Bainbridge Island,WA,Washington,Kitsap,47.6439,-122.5434,98110 98061,1840097338
Auburn,WA,Washington,King,47.3041,-122.2110,98001 98002 98092,1840096973
Ocean City,WA,Washington,Grays Harbor,47.0763,-124.1620,98569,1840112950
White Swan,WA,Washington,Yakima,46.3769,-120.7382,98952,1840113424
Felida,WA,Washington,Clark,45.7138,-122.7103,98685,1840112239
Lacey,WA,Washington,Thurston,47.0458,-122.7934,98503 98516 98509,1840097134
Gold Bar,WA,Washington,Snohomish,47.8566,-121.6927,98251,1840097547
Clyde Hill,WA,Washington,King,47.6303,-122.2180,98004,1840096220
Upper Elochoman,WA,Washington,Wahkiakum,46.2403,-123.3247,98612,1840116420
Marcus,WA,Washington,Stevens,48.6642,-118.0601,99126 99151,1840097629
Canyon Creek,WA,Washington,Snohomish,48.1157,-121.9831,98223 98252,1840112472
Malone,WA,Washington,Grays Harbor,46.9779,-123.3035,98559 98541,1840118482
